date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
2015-12-30,-0.37354016831856746,0.285637039981429,0.27957265728487807,-0.061202476331950924,0.18299611637066954,0.024441407762460746,0.014208979177874673,-0.09125593421512701,0.0951679165352219,0.016155490943456096,-0.09431823916129158,-0.016362976311566205,-0.08152269223464696,0.08916041055471759,-0.06747680445501067,-0.008800289566374254,-0.03329227881305526,-0.021572523794752076,0.013446589144207514,0.10144233280228984,-0.17319820198918232,0.005352906405399261,-0.06786387447496435,0.0529121725339231,0.09951661026192399,-0.13207162457724453,0.0924964856247272,-0.031095675386950204,0.017023192487342603,-0.03644668970315741,-0.04767592157982959,0.0018894173753930621,0.03872208926641481,0.03699511282279482,-0.0278837325371145,0.14223471327789292,0.04844985804267069,-0.02040847662686206,0.023766681926798944,0.05069597407586258,0.05561353501595221,0.10989429714641838,-0.07793895154036183,0.005840266112005963,-0.05282436715621155,0.00630644752899607,-0.009204026975999697,0.007867781752824784,0.03185820832945638,-0.06949023202937733
2016-05-31,-0.3825296065827484,0.29413874391328587,0.23382276841917424,-0.08610112328348554,0.13677536026863146,-0.03329727468692075,-0.0182179823304958,-0.009716380478170273,0.3481481945289771,-0.0014749764629228847,-0.06384057059622134,-0.0788031224940616,-0.03873388525589945,0.052795603568836245,0.007480724142873878,0.10384050712749032,-0.003941380836264634,0.01942936399744482,-0.007996530138956348,-0.10681541912662018,-0.06340180483015549,0.0293742034665817,0.019505376869940846,-0.06811454106100848,0.09178264502141459,-0.029194703416431107,-0.049178281206843096,-0.007884758523799001,-0.026764720324268035,0.20537806900637215,-0.0784943766433532,-0.033635456502203315,0.059995295174299614,-0.0655725119221742,-0.0008821075043347965,-0.034639627687631916,-0.027889911931534436,-0.05356891107502377,0.014517268497168554,-0.002555920779809563,0.023030797922604238,0.11862711658693909,-0.05942336988005916,0.049482127479827484,0.038821302944841256,0.15244274714317754,0.0698266855646347,-0.044404062511619165,0.041930461918845335,-0.021347624430636106
2018-03-13,-0.3329751471773133,0.2150252710534826,0.27158256572322415,-0.13274302076759353,0.204099647908267,-0.016599535266261088,0.0925315581889333,-0.01760372028181329,0.16887976963830628,-0.06527692560444837,-0.1091680732329096,-0.0745393207049468,-0.07483981906085667,0.03762350602427948,-0.17482029002766378,0.09736168977795984,0.12535835323255348,-0.055968153669251855,-0.052744772970801566,0.028966330264772463,0.16121841124292008,-0.10236423402845135,-0.10795994062753592,0.03218330916999034,0.0038248087805301976,0.10177506230208104,-0.03433038203842039,-0.06681954270847093,-0.14552278189107798,-0.022734971841850377,0.013374341217140472,-0.02376566672751542,-0.027837515129507634,-0.012300687383887744,-0.08141229041304404,0.03257349351950176,0.06971192665592792,0.03858583468663571,0.03912949668811703,0.009164505751713951,-0.11176363014101633,0.15307833112449873,-0.10209346354956052,-0.1483543173871104,0.050265078303657194,0.05291631968625363,-0.11517138505975959,0.08040961449746645,-0.0827721016152639,0.10095097069607718
2018-10-18,-0.3650717561845172,0.31243811416860795,0.31943377978217896,-0.14548425024693853,0.16769451050274822,-0.06171171263304163,0.09648909964447543,-0.04243143792964701,0.2621533444470515,-0.07805617489877967,-0.18198453036797096,-0.10682320054379685,-0.08630106618184215,0.09740091917193837,-0.09926347665571562,0.10866593348055624,0.05403065872192754,-0.00020287102199068323,-0.07717287464228238,-0.030187415358127117,0.13873679697225966,-0.08869102465202895,-0.04350085278912641,0.08711511487089373,-0.00029101307020449224,0.08129594572054508,-0.018084806927747398,0.03595545325418675,-0.06928407982872123,0.06124810237415679,-0.06999697058091867,-0.09686565395234012,-0.00525928757921428,-0.034010987723139,-0.04017512787464312,0.012291016435935186,0.0020306968331011777,0.019276335386437176,-0.010632487132153331,0.019771684347457425,-0.04765465330647369,0.08472373202458776,0.002894466121885092,-0.031240229951593684,0.05578326193171524,0.058975616070382667,-0.019309683989595827,0.014825781814815182,-0.022248010681346426,0.03957534121329228
2018-12-20,-0.34195612416816684,0.2349835043197599,0.23691104713068573,-0.10162248565193838,0.10645781358211288,-0.059124287546199736,0.019678037831337387,-0.09066176641507503,0.2678429302731707,-0.0006423343895227325,-0.1438903020790788,-0.10442202517733126,-0.13015319889858173,0.08967566230726155,0.05564237548792476,0.03832166301914422,-0.05567310333417665,-0.03060822051864779,0.028723536770596185,0.053102452762672545,-0.119959362466153,-0.010490515013760872,-0.0017936734579836243,0.026123349710118506,0.06937067756605833,-0.03296319237786095,0.03249660173464434,0.04709691534956011,0.06896424095912904,0.09759207006411084,0.01986665068847583,0.047696489526215906,0.09415071550412828,-0.0026685172499446076,-0.052197454108912925,0.045332889136948155,0.08224739398764722,0.01995099757515122,-0.07840651605731071,-0.026143445582349014,0.10114514283000614,0.04088988442992178,0.04235178174818363,-0.04770031894309821,0.02480944474303759,-0.039248705680171456,-0.028697523082070745,-0.01260262388966803,0.06571609287263265,-0.021800800291686063
2019-12-01,-0.3703389244557144,0.2616045509027318,0.30433400017477974,-0.1330248677965088,0.12614387875943558,-0.1258922030381097,0.04047502613594142,-0.02963295514879839,0.1828875590261401,-0.0889373184222606,-0.18247907203192928,-0.04359759656405391,-0.20172053876605883,0.07000826465969466,-0.10654766533321848,0.018908740727378498,-0.01375680834361377,0.051038970348986364,-0.11679034081555682,0.035078841488052695,0.12553878752234207,-0.06419029647593065,-0.025273296169765775,0.053509352689093286,-0.10361989483711277,-0.07965403315384142,0.03432008440680692,0.016970215462020426,0.08473293105674036,-0.04633002531016711,0.10066731947828673,0.06049873014858727,-0.10952935571529046,-0.02959363439751853,0.020143588909671467,-0.030641871352643398,0.02449841948483644,-0.08422038138046264,-0.0029475424130135184,-0.022278165384178133,-0.05363867847236175,-0.06965802459815208,0.06900668397533849,-0.08674664133190296,-0.009202990751194828,0.09230833020688274,-0.022914840907125512,0.03414974070392066,0.014282339744990083,-0.027234379971948264
2020-08-14,-0.22091763127918987,-0.09547150360652101,0.1700911291203574,-0.15995780923654782,0.02601415048585371,0.04513448574724396,0.044523525724739554,-0.09746936283408258,-0.13418282698311101,0.05368842481721817,0.053336617252213996,-0.05641289455180868,-0.0692143237875413,-0.16788570976027178,0.01606630872444896,0.05385984948909702,0.14076064560774232,0.02993107459556082,0.12520175731972072,0.17655769391991025,-0.026459556833397315,0.19460597869033686,0.06428524733431298,-0.0281832681353565,0.21629441821221587,-0.006365204205221219,-0.20428577214655877,-0.00664227713786564,0.03973268235442112,-0.10697638078443884,0.09827571937153778,-0.11118840599788689,-0.02851177371540254,0.06737977779423593,0.05744737476423103,-0.019652010250137564,-0.13165234276181825,-0.25640354189892,-0.2753062144594899,-0.020576165280490666,-0.06418089162524543,0.29010238904645774,-0.019163041000177457,0.15822824810925282,0.03568260759436525,-0.006216102343473199,-0.11891536454835461,0.027898424682358938,-0.1281013208816626,0.09451380460498784
2021-12-13,-0.3582479871384643,0.2942425264752907,0.21607313252467417,-0.09204959982790006,0.12174055395159734,-0.11294457074658255,0.046986987248801286,-0.07266341364936288,0.2528289657332064,-0.03585344791082454,-0.16413219528265263,-0.07584456529213308,-0.1369327043096073,0.025173514843674548,-0.04174430844887657,0.05209629310815327,-0.07753972937673988,0.06006722256703737,-0.07632834322627459,-0.010485125459876149,0.023417295734275454,0.020374112649218262,0.023335576181812017,-0.026369112593060035,-0.011591268321160203,-0.006343117368462642,0.009325094463098881,0.04310537000120446,0.029431135486868428,0.010391057017434382,0.0480835979940606,0.10153954013391672,-0.001107793065455281,-0.0472410657054376,0.04749179215798641,-0.050741019159909855,0.042841428351353586,0.03511552196685849,-0.016527605018356154,-0.03416177006760256,0.015699721187754985,-0.04127003950934974,0.08872141394260769,0.004320747026652783,0.027319125447976215,0.005497437314322845,-0.003325473372674561,-0.009063744484864394,-0.023609083035469724,-0.029653471766813592
2022-09-15,-0.2687083094777042,0.09550977415648583,0.3081945116722596,-0.26727755275291326,0.051146622055273316,0.002878258928738978,-0.12771282391657876,-0.17779549971001163,-0.2023836530720289,0.003783407624974127,-0.011978484847875314,0.016248398063689353,-0.12841002352339606,-0.15711388706266488,-0.0040109114782215256,0.003659927407806142,0.07207647203284698,0.06753633687605108,-0.028593235455527208,0.013146568067805755,-0.21798949091904501,0.2605658452107741,0.10926027285717346,0.013680638212834538,0.2797580401500408,-0.12630013297779952,-0.06325605729874066,-0.1315867177096429,0.21387808579526044,-0.0807347637816523,-0.05972795652650037,-0.04449748266172765,-0.008998809963457581,0.008204645968803359,-0.024975508512455863,0.014481975167855026,-0.006745677399201354,-0.02937519975580343,0.16862124591125932,-0.03641049911669926,-0.08153023792130712,-0.10203014042053879,-0.019563075990696045,0.09967168132054757,-0.09455945141612991,0.05732856799463073,0.07515214130763315,0.008535099223868638,0.0804834813155916,0.049492071566497035
2022-11-15,-0.2860118214382488,-0.07303526339800671,0.26667906284361376,-0.1540374450476501,0.1744869544123652,-0.014492288546742066,-0.08116404742696545,-0.018637955098815558,0.08079243305768978,-0.05048558572570746,-0.11918277531589429,-0.09094572872426698,0.003039016830625134,-0.1453880072308414,-0.03184481388121974,0.1301674749145065,0.26497376387822646,0.031140670598793888,0.014126365829168095,0.01998539323186664,0.05831297277663911,0.15182568888365802,0.09209909389586786,0.18211475679877004,0.03253987247787035,0.18786300098578917,-0.1648703933375411,0.04141747573768384,0.021319707767635653,0.2462772693359714,-0.052937235906933854,0.066233211523663,0.15826432917262245,0.10763434290918172,0.024471454155282353,-0.005119058929032888,-0.20180434247960172,0.2307944755594476,-0.07098294740240928,-0.0064813580078100196,0.09113204105837498,-0.020372970904209926,-0.06020038468490856,-0.049268762461014734,0.03205295266393524,-0.1641368129662916,0.00762176287406033,0.17357240754282532,0.03043046788250298,0.16481400169051727
